Date,CHRIS/ICE_BPB1,CHRIS/MX_SXH1,CHRIS/MGEX_IW1,CHRIS/ICE_P1,CHRIS/ICE_IW1,CHRIS/ICE_DW1,CHRIS/CME_RB31,CHRIS/MGEX_IC1,CHRIS/MGEX_IP1,CHRIS/MGEX_IS1,CHRIS/MX_CGZ1,CHRIS/CME_LB1,CHRIS/CME_IBV1,CHRIS/ICE_ZJ1,CHRIS/CME_NG31,CHRIS/ICE_AR1,CHRIS/CME_EH1,CHRIS/ICE_KRU1,CHRIS/ICE_SS1,CHRIS/MGEX_IH1,CHRIS/MX_SXM1,CHRIS/CME_NG41,CHRIS/CME_CI1,CHRIS/MX_SXA1,CHRIS/MX_LGB1,CHRIS/MX_SXB1,CHRIS/MX_SCF1,CHRIS/CME_RB21,CHRIS/MX_SXY1,CHRIS/ICE_Y1,CHRIS/ICE_MP1,CHRIS/ICE_NT1,CHRIS/CME_HG11,CHRIS/ICE_ZR1,CHRIS/ICE_SF1,CHRIS/CME_RR1,CHRIS/CME_DA1,CHRIS/CME_ED31,CHRIS/ICE_WA1
2004-11-04,,,,0.0,,,,,,,,386.0,,,,9.0,,,13.0,,,,,,,,,,,0.0,72.0,,6.0,525.0,,17.0,,0.0,
2004-11-05,,,,0.0,,,,,,,,244.0,,,,0.0,,,649.0,,,,,,,,,,,0.0,97.0,,84.0,583.0,,200.0,,0.0,
2004-11-08,,,,0.0,,,,,,,,305.0,,,,27.0,,,50.0,,,,,,,,,,,10.0,32.0,,31.0,546.0,,46.0,,0.0,
2004-11-09,,,,0.0,,,,,,,,552.0,,,,28.0,,,7.0,,,,,,,,,,,10.0,42.0,,83.0,57.0,,14.0,,0.0,
2004-11-10,,,,0.0,,,,,,,,328.0,,,,17.0,,,23.0,,,,,,,,,,,20.0,25.0,,125.0,38.0,,62.0,,0.0,
2004-11-11,,,,0.0,,,,,,,,200.0,,,,9.0,,,555.0,,,,,,,,,,,0.0,30.0,,40.0,2.0,,180.0,,0.0,
2004-11-12,,,,0.0,,,,,,,,244.0,,,,1.0,,,355.0,,,,,,,,,,,0.0,6.0,,27.0,2.0,,137.0,,0.0,
2004-11-15,,,,0.0,,,,,,,,247.0,,,,2.0,,,6.0,,,,,,,,,,,0.0,17.0,,157.0,2.0,,112.0,,0.0,
2004-11-16,,,,0.0,,,,,,,,778.0,,,,28.0,,,18.0,,,,,,,,,,,10.0,19.0,,6.0,379.0,,0.0,,0.0,
2004-11-17,,,,0.0,,,,,,,,638.0,,,,7.0,,,23.0,,,,,,,,,,,0.0,36.0,,118.0,16.0,,22.0,,0.0,
